Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/04/25 2:52:42 AM MDT,Olusola,Association between cleaning-related chemicals and work-related asthma and asthma symptoms among healthcare professionals,Arif,2012,Occupational and Environmental Medicine,USA,"Physicians, nurses, respiratory therapists and occupational therapists",Not stated. It is a large population-based survey.,Yes,Yes,Yes,No,,,Yes,"The odds of WRAS and WEA increased in a dose-dependent manner for exposure in the longest job to cleaning agents and disinfectants/sterilants, respectively. For exposure in any job, the odds of WRAS were significantly elevated for both factor 1 (bleach, cleaners/abrasives, toilet cleaners, detergents and ammonia) and factor 2 (glutaraldehyde/ ortho-phtaldehyde, chloramines and ethylene oxide). Significantly elevated odds of WEA were observed for exposure to bleach, factor 2 and formalin/formaldehyde. Exposure to chloramines was significantly associated with an almost fivefold elevated odds of OA.",No,No,NA,No,Yes,"The odds of WRAS, adjusted for the potential confounding effects of age, sex, race/ethnicity, BMI, seniority, atopy and smoking status, increased in a dose-dependent manner from 2.64 (95% CI: 0.57 to 12.14) for once a week exposure to cleaning agents in the longest job held job to 5.37 (95% CI: 1.43 to 20.16) for more than once a day exposure (p value for trend < 0.001). For exposures to disinfectants/sterilants, the odds of WEA increased from 3.75 to 5.06 to 9.02 for at once a week, every day and more than once a day respectively (p value for trend =0.007). The odds of OA were substantially reduced for exposure to both groups of cleaning substances; however, they were significant for the once a week exposure category.",No,Yes,"A total of 11 cleaning-related chemicals were reduced to two factors using common factor analysis. These two factors were conveniently labelled as: (1) 'general purpose cleaning (bleach, room cleaners, cleaners/abrasives, cleaners for restrooms and toilets, detergents, disinfectants and ammonia) and (2) 'instrument cleaning/sterilisation' (glutaraldehyde/OPA; formalin/formaldehyde, chloramines and ethylene oxide).",Yes,Yes,"Abstract:
Prevalences of WRAS, WEA and OA were 3.3%, 1.1% and 0.8%, respectively. The prevalence estimates were generally higher among female than male HCPs. The odds of WRAS and WEA increased in a dose-dependent manner for exposure in the longest job to cleaning agents and disinfectants/sterilants, respectively. For exposure in any job, the odds of WRAS were significantly elevated for both factor 1 (bleach, cleaners/abrasives, toilet cleaners, detergents and ammonia) and factor 2 (glutaraldehyde/ ortho-phtaldehyde, chloramines and ethylene oxide). Significantly elevated odds of WEA were observed for exposure to bleach, factor 2 and formalin/formaldehyde. Exposure to chloramines was significantly associated with an almost fivefold elevated odds of OA.

Methods:
In addition, to explore dose- response relationships, a summary measure of cumulative exposure was generated by adding all the individual variables and categorising the summary variable into 0-2, 3-5 and 6 or more exposures. 

Results:
The odds of WRAS, adjusted for effects of age, sex, race/ethnicity, smoking status, increased in a dose-(95% CI 0.57 to 12.14) for once a agents in the longest held job to more than once a day exposure (p value For exposures to disinfectants/sterilants, increased from 3.75 to 5.06 to 9.02 day and more than once a day, respectively =0.007; table 3). The odds of OA were exposure to both groups of cleaning were significant for the once a week exposure category.",No,,Yes,"A single dependent variable with four mutually exclusive cate- gories (WRAS, WEA, OA and none. 

Those with asthma symptoms who also had a history of physician-diagnosed asthma were considered to have WRA and those without a history of physician-diagnosed asthma were considered to have WRAS (n=132). Within the WRA group, those whose asthma had developed after beginning work as a HCP were classified as having OA (n=33) and those whose asthma had not developed after beginning work as a HCP were considered to have WEA (n=41) (figure 1). Respondents with none of the outcomes present were coded as a reference group (n=3440). There were four respondents whose outcome status was not determined. Development of asthma after entry into a healthcare profession was determined by comparing the age at which a physician made the asthma diagnosis with the number of years spent in the healthcare profession. Page 36",No,NA,Yes,"Article reported the following questions were asked.

Have you had wheezing or whistling in your chest while you were at work at any time in the last 12 months? If yes: - While you were away from work at any time in the last 12 months, was your wheezing or whistling: better, worse, no change? - After returning to your work at any time in the last 12 months, was your wheezing or whistling: better, worse, no change? 

Have you had an attack/episode of shortness of breath while you were at work at any time in the last 12 months? If yes: - While you were away from work at any time in the last 12 months, was your shortness of breath: better, worse, no change? - After returning to your work at any time in the last 12 months, was your shortness of breath: better, worse, no change?",No,,Yes,"Not so clear. 

The article reported that a sample of 5600 HCPs which included physicians (n=1400), nurses (n=1400), respiratory therapists (n=1400) and occupational therapists (n=1400) with active Texas licences in 2003 were surveyed using a validated questionnaire.",Yes,"The questionnaire
",Yes,"Abstract:
Prevalences of WRAS, WEA and OA were 3.3%, 1.1% and 0.8%, respectively. The prevalence estimates were generally higher among female than male HCPs. The odds of WRAS and WEA increased in a dose-dependent manner for exposure in the longest job to cleaning agents and disinfectants/sterilants, respectively. For exposure in any job, the odds of WRAS were significantly elevated for both factor 1 (bleach, cleaners/abrasives, toilet cleaners, detergents and ammonia) and factor 2 (glutaraldehyde/ ortho-phtaldehyde, chloramines and ethylene oxide). Significantly elevated odds of WEA were observed for exposure to bleach, factor 2 and formalin/formaldehyde. Exposure to chloramines was significantly associated with an almost fivefold elevated odds of OA.

Methods:
In addition, to explore dose- response relationships, a summary measure of cumulative exposure was generated by adding all the individual variables and categorising the summary variable into 0-2, 3-5 and 6 or more exposures. 

Results:
The odds of WRAS, adjusted for effects of age, sex, race/ethnicity, smoking status, increased in a dose-(95% CI 0.57 to 12.14) for once a agents in the longest held job to more than once a day exposure (p value For exposures to disinfectants/sterilants, increased from 3.75 to 5.06 to 9.02 day and more than once a day, respectively =0.007; table 3). The odds of OA were exposure to both groups of cleaning were significant for the once a week exposure category.",No,NA
2022/04/25 2:56:35 AM MDT,Olusola,ASSESSING EXPOSURES TO CLEANING AND DISINFECTING CHEMICALS FOR AN EPIDEMIOLOGIC STUDY OF ASTHMA IN HEALTHCARE OCCUPATIONS,Virji,2011,Occupational and Environmental Medicine,NA,"Nursing/nursing
aides, respiratory therapists, dental assistants/technicians, medical and clinical laboratory technicians, housekeepers, and disinfecting and sterilising technicians.",Hospitals,No,Yes,No,No,,,No,,,No,NA,No,No,NA,No,No,NA,No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is a conference abstract, not a full paper"
2022/04/25 3:03:04 AM MDT,Olusola,Work tasks and occupations as risk factors for asthma in a sample of urban healthcare workers,Henneberger,2018,European Respiratory Journal,USA,"Nine occupations–environmental service workers (ESWs, or housekeepers) and various nursing and technical occupations.",NA,Yes,No,No,No,,,No,,,No,NA,No,Yes,"Work tasks were grouped into 4.

1. Clean fixed surfaces (CLEAN).

2. Sterilize medical equipment (STERILIZE).

3. Administer aerosolized medications (AEROMED).

4. Use chemicals on patients.

The task CLEAN stood out because it had an elevated odds ratio (OR) for several outcomes, including curent asthma, OR=1.84 (95% confidence interval (CI) 1.26-2.68), moderate asthma exacerbation, OR=3.07 (95% CI 1.25-7.59), and bronchial hyper-responsiveness (BHR status), OR=1.38 (95% CI 1.08-1.77). The task AEROMED was associated with current asthma and moderate asthma exacerbation, and STERILIZE with BHR status.","Among occupations, environmental service workers (ESWs) and registered nurses were associated with current asthma, and licensed practical nurses with moderate asthma exacerbation.",No,NA,No,No,NA,No,,No,,No,NA,No,,No,,Yes,Details not available. It is an abstract,No,,No,,,"NA

This is a conference abstract, not a full paper"
2022/04/25 3:09:13 AM MDT,Olusola,Occupational exposure to disinfectants and asthma control in US nurses,Dumas,2017,European Respiratory Journal,USA,Nurses,Not specified. Data was retrieved from Nurses’ Health Study II (NHSII),Yes,Yes,No,No,,,Yes,"Regarding cleaning/disinfection tasks, 46% of the nurses reported weekly use of
disinfectants to clean surfaces, 19% reported weekly use of disinfectants to clean medical instruments and
19% reported weekly use of sprays","Asthma was controlled in 32% of
nurses, partly controlled in 50%, poorly controlled in 12% and very poorly controlled in 6%.",No,NA,No,Yes,"Weekly use of disinfectants to clean medical instruments was associated
with poorly and very poorly controlled asthma (OR 1.37, 95% CI 1.05–1.79 and OR 1.88, 95% CI 1.38–
2.56, respectively; ptrend<0.001), but no association was observed for the use of disinfectants to clean
surfaces.

Weekly use of sprays was also
associated with poorer asthma control (ptrend=0.002), in particular sprays used for surface
cleaning/disinfection, patient care and air-refreshing sprays.

When examining
the frequency of cleaning/disinfection tasks, associations with poor asthma
control were generally stronger among nurses with the highest frequency of use (4–7 days per week).
However, for spray use, significant associations were observed even among nurses with infrequent use
(<1 day per week).",No,Yes,"formaldehyde, glutaraldehyde, hypochlorite
bleach, hydrogen peroxide, alcohol, quats and enzymatic cleaners",Yes,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/04/25 3:13:09 AM MDT,Olusola,Occupational exposure to disinfectants and COPD incidence in US nurses: a prospective cohort study,Dumas,2017,"European Respiratory Journal
",USA,"Female nurses
",NA,No,Yes,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"glutaraldehyde, bleach, hydrogen peroxide, alcohol and quats",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is a conference abstract, not a full paper"
2022/04/25 3:19:24 AM MDT,Olusola,Genes Interacting with Occupational Exposures to Low Molecular Weight Agents and Irritants on Adult-Onset Asthma in Three European Studies,Rava,2017,"Environmental Health Perspectives
","Not specified. Maybe France.  Article stated that data came from three multicenter epidemiological European studies: French Epidemiological family-based study of the Genetics and Environment of Asthma (EGEA) and two population-based studies, Swiss Cohort Study on Air Pollution and Lung and Heart Disease in Adults (SAPALDIA), and the European Community Respiratory Health Survey (ECRHS).","Not specified

Article mentioned broadly; nurses and cleaners",NA,Yes,No,No,No,,,No,,,No,NA,No,Yes,"A positive and significant association
was found between lifetime occupational
exposure to low molecular weight (LMW) agents or irritants and
current adult-onset asthma: age- and sex adjusted pooled Odds Ratio (ORa) = 1.28; [95% confidence interval (CI): 1.04, 1.58].
Across the three cohorts, the associations
between exposure and asthma were as follows:
age- and sex-adjusted ORa = 1.09 (95% CI:
0.72, 1.65; n = 122/689, cases/all) in EGEA,
0.89 (95% CI: 0.56, 1.42; n = 107/574) in
SAPALDIA, and 1.55 (95% CI: 1.15, 2.08;
n = 234/1,336) in ECRHS.",No,No,"Not specified

Article mentioned that, 

occupational history was recorded by interview, and job codes were linked to an asthma-specific job-exposure
matrix (JEM) evaluating exposure to 22
agents and including a local expert reevaluation
step.",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/04/25 3:34:22 AM MDT,Olusola,Update on asthma and cleaning agents,Folletti,2017,"Curr Opin Allergy Clin Immunol
",Not specified.   This article is a review,"Not specified.
",Not specified,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"bleach, ammonia and cleaning/degreasing sprays
",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,"NA

This is a review article"
2022/04/25 3:38:44 AM MDT,Olusola,Determinants of disinfectant use among nurses in U.S. healthcare facilities,Dumas,2017,"Am J Ind Med
",USA,"Nurses
",Hospitals,Yes,Yes,No,No,,,Yes,"Nurses commonly reported weekly use of disinfectants to clean surfaces (50%) and, to a lower extent, to clean instruments (19%) and weekly use of sprays (19%). Among nurses reporting weekly use of spray, 66% used sprays for surface cleaning or disinfection, 21% for instrument cleaning or disinfection, 28% for patient care, 48% for air-refreshing and 4% for other use. The most common disinfectants used weekly by all nurses were alcohol (38%), hypochlorite bleach (21%), and quats (12%).

Working in a hospital was significantly associated with a higher use of disinfectants to clean surfaces (odds ratio: 2.06, 95% confidence interval: 1.89-2.24) and to clean instruments (1.70, 1.53-1.90), compared to other workplaces. However, the opposite was observed for spray use that was less often reported by nurses working in hospitals than those working in other facilities (any spray: 0.74, 0.66-0.82; sprays for cleaning/disinfection: 0.72, 0.63-0.81). Regarding specific disinfectants, the most commonly used products (eg, bleach, alcohol, quats) were used more often by nurses working in hospitals (Table II). Only the use of “green” products was reported significantly less often by nurses working in hospitals.",No,No,NA,No,No,NA,No,Yes,"Alcohol, hypochlorite bleach and quats",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/04/25 3:43:49 AM MDT,Olusola,Occupational Respiratory Allergic Diseases in Healthcare Workers,Mazurek,2016,"Curr Allergy Asthma Rep
",NA  This is a review article,"physicians, dentists, chiropractors and others
",NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Disinfectant products
Glutaraldehyde, orthophthalaldehyde
(OPA), hydrogen peroxide, and peracetic acid
with hydrogen peroxide.

Cleaning products
Chlorine, ammonia,
ethanolamine, 2-butoxyethanol, and
quaternary ammonium compounds (e.g., benzalkonium chloride).

Quaternary
ammonium compounds, amine compounds and aldehydes
(e.g., formaldehyde, glutaraldehyde), and fragrances.",No,No,NA,No,,No,,Yes,"Sensitizing
low molecular weight (LMW) agents are often reactive
chemicals such as isocyanates. They may cause IgE sensitization
or cause allergic disease after a latency through other
immune mechanisms that remain to be fully characterized",No,,No,,No,,No,,Yes,"Syamlal and colleagues reported that the prevalence of lifetime asthma
was highest among health service (11.5 %) and health technologist
and technicians (11.5 %) occupations. Moreover, the
prevalence of an asthma attack in the past year among individuals
with asthma was also high among health-related occupations
(i.e., health assessment and treating and health
service). An estimated 42.3 % of those with asthma in the
health services, except hospitals and 40.2 % of those in the
hospital industry had an asthma attack in the past.
Approximately 1 % (40,000 cases) of asthma cases reporting
an asthma attack were attributed to employment for the health
services, except hospitals industry workers and 0.3 % (10,000
cases) for the hospital industry workers.

Delclos
and colleagues reported that the overall asthma prevalence was
6.6 %; by occupation, the prevalence was 4.2 % for physicians,
7.3 % for nurses, 5.6 % for occupational therapists, and
4.5 % for respiratory therapists. Arif and colleagues in their
cross-sectional survey of Texas licensed nurses found that
among nursing professionals, registered nurses had the
highest prevalence of asthma (10.2 %) followed by licensed
practical nurses (8.0 %) and nurse practitioners (6.9 %).

Analysis of 2013 Behavioral Risk Factor
Surveillance System (BRFSS) data from 21 states showed that asthma prevalence in the health care and social assistance
industry workers ranged from 6.6 % in Nebraska to 15.2 %
in Michigan [45]. Workers in healthcare support occupations
in Michiganwere found to have the highest asthma prevalence
(21.5 %).

Anderson and colleagues reported that the overall asthma prevalence for all workers
in the state was 8.1 %. The prevalence of asthma was
11.2 % for workers in other health services (e.g., health
aides/nursing aides) and 8.5 % for health assessment, diagnosis
and treatment professionals (e.g., physicians, registered
nurses).",No,"NA

This is a review article"
2022/04/25 3:49:26 AM MDT,Olusola,Risk factors for work-related asthma in health workers with exposure to diverse cleaning agents in two African health care settings,Mwanga,2016,"Allergy Eur. J. Allergy Clin. Immunol.
",South Africa & Tanzania,NA,Tertiary public hospitals in southern Africa - South Africa and Tanzania,Yes,Yes,No,Yes,"Exposure assessment included systematic workplace observations, environmental sampling for aldehydes (orthophthalaldehyde-OPA, glutaraldehyde and formaldehyde) and urine biomonitoring for chlorhexidine.

In the South Africa Hospital (SAH), a total of 269 full-shift passive personal samples were collected from 164 HWs randomly selected from 17 different clinical departments. Passive sampling used TraceAir® AT580 monitors (Assay Technology, Livermore, CA). Biomonitoring for chlorhexidine was only conducted in the SAH since none of the HWs in the TAH used chlorhexidine.","Environmental sampling demonstrated that OPA was detectable in 6 (2%) samples, all samples (Geometric mean (GM) = 0.010 ppm) being higher than the ACGIH exposure limit (0.0001 ppm). Workers with detectable OPA were found to have a longer duration of OPA use (OR = 1.28; 95% CI: 1.10 – 1.50). Formaldehyde was detectable in 103 (38%) samples (GM = 0.005 ppm), with 1% of samples having levels higher than the NIOSH TWA exposure limit (0.016 ppm).",No,,,Yes,"The prevalence of current asthma was 10% (atopic asthma 6%, non-atopic asthma 4%), while 2% had WRA. The prevalence of atopy was 43%, with 4% of workers being sensitised to OPA, 2% to NRL and only 1% to chlorhexidine.

Furthermore, a strong association was observed between higher asthma symptom scores and use of more sprays than wipes for fixed surface cleaning activities (mean ratio = 3.00; 95% CI: 1.50 – 5.98).",No,No,NA,No,Yes,"Aldehydes (orthophthalaldehyde-OPA, glutaraldehyde and formaldehyde) and chlorhexidine
",No,Yes,"A particularly pronounced dose-response relationship was observed between work-related ocular-nasal symptoms and medical instrument cleaning agents (OPA, glutaraldehdye, QACs, enzymatic cleaners, alcohols and bleach; OR range: 2.50 – 12.08) and tasks (OR range: 2.58 – 3.97).
",No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/04/25 3:54:34 AM MDT,Olusola,Characterization of Cleaning and Disinfecting Tasks and Product Use Among Hospital Occupations,Saito,2015,"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE
",USA,"Housekeepers, Floor strippers/waxers, Registered nurses, Licensed practical nurses, Nursing assistants, Medical appliance technician, Medical equipment preparers, Endoscopy technicians, Dental assistants, Dental laboratory technicians, Respiratory therapists, Medical and clinical laboratory techs, Pharmacists/PharmacyTechnicians, Surgical Technologists",Five facilities (three government general hospitals and two university teaching hospitals),Yes,Yes,No,No,,,Yes,"Cleaning and disinfecting tasks were performed with a high frequency at least
once per shift in many occupations. Medical equipment preparers, housekeepers, floor
strippers/waxers, and endoscopy technicians spent on average 108–177 min/shift
performing cleaning/disinfecting tasks. Many occupations used products containing
amines and quaternary ammonium compounds for >100 min/shift.","Yes

Occupations with high frequency (in % of shifts) of cleaning
and disinfecting tasks included: floor strippers/waxers
(100%), endoscopy technicians (100%), dental assistants
(100%), housekeepers (98%), certified nursing assistants
(88%), and medical equipment preparers (85%). Moderate
frequency was observed for licensed practical nurses (78%),
respiratory therapists (75%), and registered nurses (66%). For
the remainder of the occupations, cleaning and disinfecting
tasks were performed during less than 50% of their shifts.

The mean duration was the
highest for medical equipment preparers (177 min/shift),
followed by housekeepers (151 min/shift), endoscopy technicians
(108min/shift), and floor strippers/waxers (94 min/
shift). Notably, licensed practical nurses, certified nursing
assistants, and dental assistants had moderate durations of
cleaning and disinfecting tasks (mean range: 36–61 min/
shift). Other occupations such as pharmacy technicians,
clinical laboratory technicians, and dental laboratory technicians
spent on average less than 25 min/shift performing
cleaning and disinfecting tasks.

Most occupations performed
equipment cleaning, with the highest frequency (% of shifts)
being among dental assistant (91%), medical equipment
preparers (77%), and endoscopy technicians (53%). The mean
duration of equipment cleaning was the longest in medical
equipment preparers (131 min/shift) followed by endoscopy
technicians (58 min/shift). For the remainder of the occupations,
the frequency of equipment cleaning was less than 50%
of shifts and the mean duration was shorter than 40 min/shift.",No,NA,No,No,NA,No,Yes,"The
chemical composition of each cleaning and disinfecting product
was identified and the constituent chemicals were further
grouped into 27 categories based on their common physical
(e.g., phases) and chemical properties (e.g., functional groups):
acid, acrylate, alcohol, aldehyde, alkane, amide, amine,
ammonia, aromatic, base, carboxylic acid, enzyme, ester, ether,
fragrance, glycol ether, halogenated compound, metal, metal
salt, metalloid, oxidizer, phenolic, quaternary ammonium
compounds, salt, surfactant, terpene, and others.",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/04/25 4:01:00 AM MDT,Olusola,Acute Symptoms Associated With Chemical Exposures and Safe Work Practices Among Hospital and Campus Cleaning Workers: A Pilot Study,Lee,2014,"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE
",USA,"183 cleaning workers employed in an
academic medical center and affiliated health sciences campuses in Northern California",University medical center and affiliated health sciences campuses in Northern California,Yes,No,Yes,No,,,No,,,Yes,"A history of asthma was reported by 17
workers (9%); nine workers were currently taking a
medication for asthma and one out of 11 workers who
were diagnosed with asthma at 18 ages or older reported that
it was related to her previous job. Workers with a history of
asthma or contact dermatitis were significantly more likely to
experience chemical-related symptoms than workers without
such conditions (asthma: 65% vs. 33%, P=0.010; contact
dermatitis: 78% vs. 34%, P=0.012). In further analyses, a
significant association was found between respiratory
symptoms and asthma history (59% with asthma history
vs. 28% without asthma history; P=0.008), but not between
skin symptoms and contact dermatitis (22% with the history
vs. 5% without the history; P=0.094). A significant
association was found between experiences of respiratory
symptoms and skin symptoms with Fisher’s exact test
(P=0.004).","Yes

Chemical-related symptoms were more common
among hospital workers (39%) than among campus workers
(27%). Patient support assistants (PSAs) had the highest symptom prevalence (44%).
After adjustment for age and sex, hospital custodians and
PSAs had 19–43% increased odds of experiencing chemicalrelated
symptoms compared to campus custodians, although
this finding was not statistically significant. Chemical-related
symptoms were significantly associated with working on inpatient
floors (OR: 2.55, 95% CI 1.28–5.08) and intensive
care units (OR: 2.53, 95% CI 1.15–5.55). For respiratory
symptoms, overall findings showed similar patterns with
slightly weaker associations compared to the findings on
chemical-related symptoms, and statistical significance was
found only for working on in-patient floors (OR:2.37. 95%
CI 1.18–4.75).",Yes,"Chemical-related symptoms (several times monthly or more often) were more
common among workers who performed patient area cleaning (44%) than hospital
custodians (36%) or campus custodians (28%).","Chemical-related symptoms (several times monthly or more often) were more
common among workers who performed patient area cleaning (44%) than hospital
custodians (36%) or campus custodians (28%).",Yes,"Cleaning Products

Liquid multi-use cleaning products, polishes, waxes, disinfectants, bleaches, solvents, stain removers, Glass cleaning products, Products for mopping the floor, Products for cleaning the carpet, Furniture sprays, Products that smell like lemon or orange, Products combined immediately before use.",Yes,No,NA,No,,No,,No,NA,No,,No,,Yes,"This study collected data using a questionnaire in
English, Chinese, or Spanish. The English questionnaire was
developed initially and reviewed by two occupational health
experts and one cleaning service manager. The questionnaire
was pilot tested with four hospital cleaning workers and
minor modifications were made to improve clarity in wording
and format.",No,,Yes,"A history of asthma or contact dermatitis was
reported by 22 workers (12%); of these, 4 workers (18%)
reported having both conditions.",No,NA
2022/04/25 4:06:46 AM MDT,Olusola,Occupational asthma caused by sensitization to a cleaning product containing triclosan,Walters,2017,"Ann Allergy Asthma Immunol
",NA,Case report of a nurse,"She had been employed as a nursery nurse for 12 months, caring for 30 children aged 2 to 3 years. Her work tasks involved mopping.",Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Her work tasks involved mopping using 5% trisodium nitrilotriacetate
(Versatile) cleaner daily and cleaning tables using
liquid cleaner containing 0.05% triclosan (Antibac; pH 7.0). She
used latex gloves and a gel containing 70% ethanol for hand
cleaning.",No,No,NA,No,,Yes,"She had been employed as a nursery nurse for 12 months, caring for 30 children aged 2 to 3 years..

The 26-year-old woman presented with a 7-month history of
cough, wheeze, and chest tightness that became progressively
worse throughout the working week and better on days away
from work.",No,NA,Yes,"Through clinical examination, chest radiography, spirometry and total IgE test.
",No,,No,,No,,No,,,NA
2022/04/25 4:22:15 AM MDT,Olusola,Occupational exposures and fluorescent oxidation products in 723 adults of the EGEA study,Dumas,2014,"European Respiratory Journal
",France,"Not specified.

Article says healthcare workers or cleaners in hospitals",NA,Yes,No,No,Yes,"Study investigated the associations
between occupational exposure to potentially asthmogenic chemicals and irritants, and the level of
fluorescent oxidation products, a global marker of damage due to oxidative stress. 

Level of
fluorescent oxidation products measured in plasma as follows;

Plasma was extracted with 3:1 by volume ethanol/ether and was measured using a spectrofluorometer
(360nm excitation wavelength, 430nm emission wavelength). The fluorescence was determined as relative
fluorescent intensity units per millilitre of plasma (RFU·mL−1).","The geometric mean (first quartile–third quartile) of fluorescent oxidation products level in all adults was 94.4
(81.9–108.1) RFU·mL−1.

Occupational exposure to irritant cleaning products and to LMW agents, especially highly reactive
chemicals, were significantly associated with higher levels of fluorescent oxidation products in men.

In women, an association was suggested (p=0.08) between occupational exposure to irritant
cleaning products and levels of fluorescent oxidation products.",No,,,No,NA,No,No,NA,No,No,NA,No,Yes,"However, detailed assessment
of exposure to the multiple chemicals contained in cleaning and disinfecting products is challenging, and
the sample size did not allow us to study associations between levels of fluorescent oxidation products and
specific agents, or a potential dose–response effect according to duration or timing of exposure.",No,,No,,No,NA,No,,No,,Yes,"Occupational history was recorded by questionnaire, and an asthma-specific job-exposure matrix (JEM) was
used to evaluate exposure to agents potentially at risk for asthma or respiratory health. Hospital workers
(including healthcare workers or cleaners in hospitals) were further asked to complete a job-specific
questionnaire regarding exposure to cleaning/disinfecting tasks and products.",No,,No,,,NA
2022/04/25 4:27:17 AM MDT,Olusola,Assessing the impact of national level interventions on workplace respiratory disease in the UK: part 1—changes in workplace exposure legislation and market forces,Stocks,2013,"Occup Environ Med
",UK,"Medical practitioners, psychologists, pharmacists,
pharmacologists ophthalmic opticians, dental practitioners,
nurses, midwives, paramedics, medical radiographers, chiropodists, dispensing opticians, pharmaceutical dispensers,
medical and dental technicians, therapists, nursing
auxiliaries and assistants, ambulance staff, dental nurses
and hospital porters.",NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,Glutaraldehyde,Yes,No,NA,No,,No,,Yes,"Latency appeared 7 times. In all instances, it was referring to short latency respirtaory diseases (SLRD)",Yes,"The methodology involved respiratory physicians reporting of work-related
respiratory disease to Surveillance of Work-related and Occupational
Respiratory Disease (SWORD) specifying the suspected causal
agent(s). Reports of SLRD (sum of reports of asthma, allergic
alveolitis, rhinitis and inhalation accidents) or asthma
alone spanning the period 1996–2010 were analysed.",No,,No,,No,,Yes,"Between 2003 and 2008, 1190 cases of SLRD, including 855
(72%) asthma diagnoses, were reported to SWORD. The other
major diagnostic categories included within SLRD besides
asthma were inhalation accidents (55, 5%), rhinitis (149, 13%)
and allergic alveolitis (79, 7%).",No,NA
